name,size,images,current_price,rating,num_reviews,comfort,best for,mattress type,height,Cooling TechYeslogy,Motion Separation,Pressure Relief,Support,Adjustable Base Friendly,Breathable,Mattress in a Box,ProductID
"Tulo 10"" Medium Cooling Hybrid Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Tulo_10_Medium_Cooling_Hybrid_Mattress/image_1.jpg', 'images/Tulo_10_Medium_Cooling_Hybrid_Mattress/image_2.jpg', 'images/Tulo_10_Medium_Cooling_Hybrid_Mattress/image_3.jpg']","[$ 261.99, $ 289.99, $ 314.99, $ 349.99, $ 436.99, $ 436.99]",4.1,103,Medium,"Side, Stomach and Back Sleepers",Hybrid,"10""",Yes,Yes,,Yes,Yes,Yes,Yes,51
Sleepy's Hybrid Medium Mattress,"[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Sleepys_Hybrid_Medium_Mattress/image_1.jpg', 'images/Sleepys_Hybrid_Medium_Mattress/image_2.jpg']","[$ 849.99, $ 899.99, $ 949.99, $ 999.99, $ 1399.99, $ 1399.99]",N/A,N/A,Medium,"Side, Stomach and Back Sleepers",Hybrid,"13""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,52
Sleepy's By Sealy® Plush Euro Top Mattress,"[“Twin”, “Twin XL”, “Full”, “Full XL”,“Queen”, “King”, “Cal King”]","['images/Sleepys_By_Sealy®_Plush_Euro_Top_Mattress/image_1.jpg', 'images/Sleepys_By_Sealy®_Plush_Euro_Top_Mattress/image_2.jpg']","[$ 749.99, $ 652.99, $ 929.99, $ 742.99, $ 949.99, $ 1249.99, $ 922.99]",4.2,682,Plush,Side Sleepers,Innerspring,"13""",Yes,Yes,Yes,Yes,Yes,Yes,No,53
Sleepy's Rest Medium Innerspring Mattress,"[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Sleepys_Rest_Medium_Innerspring_Mattress/image_1.jpg', 'images/Sleepys_Rest_Medium_Innerspring_Mattress/image_2.jpg', 'images/Sleepys_Rest_Medium_Innerspring_Mattress/image_3.jpg']","[$ 239.99, $ 249.99, $ 329.99, $ 349.99, $ 449.99, $ 449.99]",4.2,5753,Medium,"Side, Stomach and Back Sleepers",Innerspring,"9.5""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,54
"Serta Perfect Sleeper® Oasis Sleep 14.5"" Pillow Top Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Serta_Perfect_Sleeper®_Oasis_Sleep_14.5_Pillow_Top_Mattress/image_1.jpg', 'images/Serta_Perfect_Sleeper®_Oasis_Sleep_14.5_Pillow_Top_Mattress/image_2.jpg']","[$ 692.99, $ 730.99, $ 754.99, $ 769.99, $ 1077.99, $ 1077.99]",4.6,506,Firm,"Back and Stomach Sleepers, Pain and Bed Partner",Memory Foam,,No,No,No,No,No,No,No,55
"Tempur-Pedic TEMPUR-Adapt® 11"" Medium Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Tempur-Pedic_TEMPUR-Adapt®_11_Medium_Mattress/image_1.jpg', 'images/Tempur-Pedic_TEMPUR-Adapt®_11_Medium_Mattress/image_2.jpg']","[$ 1699.99, $ 1699.99, $ 2049.99, $ 2199.99, $ 2899.99, $ 2899.99, $ 1699.99]",N/A,N/A,Medium,"Side, Stomach and Back Sleepers",Memory Foam,"11""",Yes,Yes,Yes,Yes,Yes,Yes,No,56
"Serta Perfect Sleeper® Nurture Night 13.5"" Plush Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Serta_Perfect_Sleeper®_Nurture_Night_13.5_Plush_Mattress/image_1.jpg', 'images/Serta_Perfect_Sleeper®_Nurture_Night_13.5_Plush_Mattress/image_2.jpg']","[$ 559.99, $ 599.99, $ 623.99, $ 639.99, $ 879.99, $ 879.99]",4.7,450,Plush,"Side Sleepers, Pain and Bed Partner",Memory Foam,,No,No,No,No,No,No,No,57
"Beautyrest PressureSmart™ 2.0 Firm 11"" Mattress","[“Twin”, “Twin XL”, “Full”, “Full XL”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Beautyrest_PressureSmart™_2.0_Firm_11_Mattress/image_1.jpg', 'images/Beautyrest_PressureSmart™_2.0_Firm_11_Mattress/image_2.jpg']","[$ 999.99, $ 1199.99, $ 1349.99, $ 1349.99, $ 1399.99, $ 1849.99, $ 1849.99, $ 1199.99]",N/A,N/A,Firm,Back and Stomach Sleepers,Innerspring,"11""",Yes,Yes,Yes,Yes,Yes,Yes,No,58
"Sealy Posturepedic® Summer Rose 12"" Firm Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Sealy_Posturepedic®_Summer_Rose_12_Firm_Mattress/image_1.jpg', 'images/Sealy_Posturepedic®_Summer_Rose_12_Firm_Mattress/image_2.jpg']","[$ 396.99, $ 516.99, $ 516.99, $ 529.99, $ 728.99, $ 728.99, $ 516.99]",3.8,315,Firm,Back and Stomach Sleepers,Innerspring,"12""",Yes,Yes,Yes,Yes,Yes,Yes,No,59
"Tulo 13"" Medium Firm Cooling Hybrid Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Tulo_13_Medium_Firm_Cooling_Hybrid_Mattress/image_1.jpg', 'images/Tulo_13_Medium_Firm_Cooling_Hybrid_Mattress/image_2.jpg', 'images/Tulo_13_Medium_Firm_Cooling_Hybrid_Mattress/image_3.jpg']","[$ 374.99, $ 393.99, $ 411.99, $ 449.99, $ 561.99, $ 561.99]",3.8,124,Medium,"Side, Stomach and Back Sleepers",Hybrid,"13""",Yes,Yes,No,Yes,Yes,Yes,Yes,60
"Zinus Cooling Gel Memory Foam Pocket Hybrid 10"" Mattress","[“Twin”, “Queen”, “King”]","['images/Zinus_Cooling_Gel_Memory_Foam_Pocket_Hybrid_10_Mattress/image_1.jpg', 'images/Zinus_Cooling_Gel_Memory_Foam_Pocket_Hybrid_10_Mattress/image_2.jpg', 'images/Zinus_Cooling_Gel_Memory_Foam_Pocket_Hybrid_10_Mattress/image_3.jpg']","[$ 274.99, $ 404.99, $ 491.99]",3.7,26,Medium,"All Sleep Positions, Bed Partner and Pain",Hybrid,,No,No,No,No,No,No,No,61
"Sealy Posturepedic® Hybrid Lacey 13"" Plush Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Sealy_Posturepedic®_Hybrid_Lacey_13_Plush_Mattress/image_1.jpg', 'images/Sealy_Posturepedic®_Hybrid_Lacey_13_Plush_Mattress/image_2.jpg', 'images/Sealy_Posturepedic®_Hybrid_Lacey_13_Plush_Mattress/image_3.jpg']","[$ 899.99, $ 959.99, $ 1079.99, $ 1149.99, $ 1399.99, $ 1399.99, $ 959.99]",4.6,2237,Plush,Side Sleepers,Hybrid,"13""",Yes,Yes,Yes,Yes,Yes,Yes,No,62
"Beautyrest Black® Series Three 15.25"" Medium Mattress","[“Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Beautyrest_Black®_Series_Three_15.25_Medium_Mattress/image_1.jpg', 'images/Beautyrest_Black®_Series_Three_15.25_Medium_Mattress/image_2.jpg']","[$ 3049.99, $ 3329.99, $ 3599.99, $ 4299.99, $ 4299.99, $ 3049.99]",4.4,568,Medium,"All Sleep Positions, Pain and Bed Partner",Memory Foam,,No,No,No,No,No,No,No,63
"Beautyrest PressureSmart™ 2.0 Extra Firm 13.5"" Mattress","[“Split Cal King”, “Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Beautyrest_PressureSmart™_2.0_Extra_Firm_13.5_Mattress/image_1.jpg', 'images/Beautyrest_PressureSmart™_2.0_Extra_Firm_13.5_Mattress/image_2.jpg']","[$ 1299.99, $ 1249.99, $ 1299.99, $ 1349.99, $ 1499.99, $ 1899.99, $ 1899.99]",4.3,1031,Extra Firm,Back and Stomach Sleepers,Innerspring,"13.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,64
