name,size,images,current_price,rating,num_reviews,comfort,best for,mattress type,height,Cooling TechYeslogy,Motion Separation,Pressure Relief,Support,Adjustable Base Friendly,Breathable,Mattress in a Box,ProductID
"DreamCloud Premier 14"" Hybrid Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/DreamCloud_Premier_14_Hybrid_Mattress/image_1.jpg', 'images/DreamCloud_Premier_14_Hybrid_Mattress/image_2.jpg']","[$ 649.99, $ 799.99, $ 899.99, $ 949.99, $ 1149.99, $ 1149.99]",4.2,13579,Firm,"Back and Stomach Sleepers, Pain and Temperature",Hybrid,,No,No,No,No,No,No,No,85
Sleepy's Hybrid Firm Mattress,"[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Sleepys_Hybrid_Firm_Mattress/image_1.jpg', 'images/Sleepys_Hybrid_Firm_Mattress/image_2.jpg']","[$ 899.99, $ 999.99, $ 1099.99, $ 1299.99, $ 1699.99, $ 1699.99]",4.2,1179,Firm,Back and Stomach Sleepers,Hybrid,"11""",Yes,No,Yes,Yes,Yes,Yes,Yes,86
"Serta iSeries® 2.0 Hybrid 3000 13.5"" Medium Mattress","[“Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Serta_iSeries®_2.0_Hybrid_3000_13.5_Medium_Mattress/image_1.jpg', 'images/Serta_iSeries®_2.0_Hybrid_3000_13.5_Medium_Mattress/image_2.jpg']","[$ 2099.99, $ 2499.99, $ 2499.99, $ 2899.99, $ 2899.99]",4.3,487,Medium,"Side, Stomach and Back Sleepers",Hybrid,"13.5""",Yes,Yes,Yes,Yes,Yes,No,No,87
"Sealy Posturepedic® Plus Hybrid High Point 14"" Firm Mattress","[“Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Sealy_Posturepedic®_Plus_Hybrid_High_Point_14_Firm_Mattress/image_1.jpg', 'images/Sealy_Posturepedic®_Plus_Hybrid_High_Point_14_Firm_Mattress/image_2.jpg']","[$ 2379.99, $ 2389.99, $ 2399.99, $ 2899.99, $ 2899.99, $ 2379.99]",4.5,3607,Firm,Back and Stomach Sleepers,Hybrid,"14""",Yes,Yes,Yes,Yes,Yes,Yes,No,88
Serta Perfect Sleeper® Sleep Excellence™ Medium PillowTop Mattress,"[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Serta_Perfect_Sleeper®_Sleep_Excellence™_Medium_PillowTop_Mattress/image_1.jpg', 'images/Serta_Perfect_Sleeper®_Sleep_Excellence™_Medium_PillowTop_Mattress/image_2.jpg']","[$ 1299.99, $ 1399.99, $ 1579.99, $ 1599.99, $ 1999.99, $ 1999.99]",4.3,869,Extra Firm,"Back and Stomach Sleepers, Pain and Toss and Turn",Memory Foam,,No,No,No,No,No,No,No,89
"Beautyrest Black® Series Three 15"" Firm Mattress","[“Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Beautyrest_Black®_Series_Three_15_Firm_Mattress/image_1.jpg', 'images/Beautyrest_Black®_Series_Three_15_Firm_Mattress/image_2.jpg']","[$ 3049.99, $ 3329.99, $ 3599.99, $ 4299.99, $ 4299.99, $ 3049.99]",4.4,611,Firm,"Back and Stomach Sleepers, Pain and Bed Partner",Memory Foam,,No,No,No,No,No,No,No,90
"Sealy Posturepedic® Plus Hybrid Albany 13"" Medium Mattress","[“Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Sealy_Posturepedic®_Plus_Hybrid_Albany_13_Medium_Mattress/image_1.jpg', 'images/Sealy_Posturepedic®_Plus_Hybrid_Albany_13_Medium_Mattress/image_2.jpg']","[$ 1779.99, $ 1789.99, $ 1799.99, $ 2299.99, $ 2299.99, $ 1779.99]",4.6,2093,Medium,"Side, Stomach and Back Sleepers",Hybrid,"13""",Yes,Yes,Yes,Yes,Yes,Yes,No,91
"Tempur-Pedic TEMPUR-LuxeBreeze® Soft 13"" Mattress","[“Twin XL”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Tempur-Pedic_TEMPUR-LuxeBreeze®_Soft_13_Mattress/image_1.jpg', 'images/Tempur-Pedic_TEMPUR-LuxeBreeze®_Soft_13_Mattress/image_2.jpg']","[$ 5099.99, $ 5599.99, $ 6299.99, $ 6299.99, $ 5099.99]",4,852,Plush,Side Sleepers,Memory Foam,"13""",Yes,Yes,Yes,Yes,Yes,Yes,No,92
"Tempur-Pedic TEMPUR-Adapt® 11"" Medium Hybrid Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Tempur-Pedic_TEMPUR-Adapt®_11_Medium_Hybrid_Mattress/image_1.jpg', 'images/Tempur-Pedic_TEMPUR-Adapt®_11_Medium_Hybrid_Mattress/image_2.jpg']","[$ 1999.99, $ 1999.99, $ 2349.99, $ 2499.99, $ 3199.99, $ 3199.99, $ 1999.99]",4.4,1723,Medium,"Side, Stomach and Back Sleepers",Hybrid,"11""",Yes,Yes,Yes,Yes,Yes,Yes,No,93
"Serta Perfect Sleeper® Oasis Sleep 12"" Extra Firm Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_Perfect_Sleeper®_Oasis_Sleep_12_Extra_Firm_Mattress/image_1.jpg', 'images/Serta_Perfect_Sleeper®_Oasis_Sleep_12_Extra_Firm_Mattress/image_2.jpg']","[$ 899.99, $ 949.99, $ 979.99, $ 999.99, $ 1399.99, $ 1399.99]",4.7,461,Extra Firm,"Back and Stomach Sleepers, Pain and Bed Partner",Memory Foam,,No,No,No,No,No,No,No,94
"Serta iSeries® 2.0 Hybrid 1000 12"" Medium Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_iSeries®_2.0_Hybrid_1000_12_Medium_Mattress/image_1.jpg', 'images/Serta_iSeries®_2.0_Hybrid_1000_12_Medium_Mattress/image_2.jpg']","[$ 1599.99, $ 1799.99, $ 1999.99, $ 2099.99, $ 2599.99, $ 2599.99]",4.4,1375,Medium,"Side, Stomach and Back Sleepers",Hybrid,"12""",Yes,Yes,Yes,Yes,Yes,No,No,95
"Beautyrest PressureSmart™ 2.0 Lux Plush Pillow Top 16.5"" Mattress","[“Split Cal King”, “Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Beautyrest_PressureSmart™_2.0_Lux_Plush_Pillow_Top_16.5_Mattress/image_1.jpg', 'images/Beautyrest_PressureSmart™_2.0_Lux_Plush_Pillow_Top_16.5_Mattress/image_2.jpg']","[$ 1699.99, $ 1599.99, $ 1699.99, $ 1749.99, $ 1799.99, $ 2299.99, $ 2299.99]",4.2,355,Plush,Side Sleepers,Innerspring,"16.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,96
"Sealy Posturepedic® Plus Satisfied II 13"" Medium Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Sealy_Posturepedic®_Plus_Satisfied_II_13_Medium_Mattress/image_1.jpg', 'images/Sealy_Posturepedic®_Plus_Satisfied_II_13_Medium_Mattress/image_2.jpg', 'images/Sealy_Posturepedic®_Plus_Satisfied_II_13_Medium_Mattress/image_3.jpg']","[$ 649.99, $ 727.99, $ 769.99, $ 779.99, $ 987.99, $ 987.99, $ 727.99]",3.8,90,Medium,"Side, Stomach and Back Sleepers",Innerspring,"13""",Yes,Yes,Yes,Yes,Yes,Yes,No,97
"Sealy Posturepedic® Spring Bloom 12"" Medium Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Sealy_Posturepedic®_Spring_Bloom_12_Medium_Mattress/image_1.jpg', 'images/Sealy_Posturepedic®_Spring_Bloom_12_Medium_Mattress/image_2.jpg']","[$ 499.99, $ 679.99, $ 679.99, $ 699.99, $ 999.99, $ 999.99, $ 679.99]",4.5,3040,Medium,"Side, Stomach and Back Sleepers",Innerspring,"12""",Yes,No,Yes,Yes,Yes,No,No,98
"Sealy Posturepedic Summer Rose 13"" Medium Euro Pillow Top Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Sealy_Posturepedic_Summer_Rose_13_Medium_Euro_Pillow_Top_Mattress/image_1.jpg', 'images/Sealy_Posturepedic_Summer_Rose_13_Medium_Euro_Pillow_Top_Mattress/image_2.jpg', 'images/Sealy_Posturepedic_Summer_Rose_13_Medium_Euro_Pillow_Top_Mattress/image_3.jpg']","[$ 541.99, $ 638.99, $ 638.99, $ 649.99, $ 757.99, $ 757.99, $ 638.99]",3.8,30,Medium,"Side, Stomach and Back Sleepers",Innerspring,"13""",Yes,Yes,Yes,Yes,Yes,Yes,No,99
"Tulo Lavender 12"" Plush Memory Foam Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”]","['images/Tulo_Lavender_12_Plush_Memory_Foam_Mattress/image_1.jpg', 'images/Tulo_Lavender_12_Plush_Memory_Foam_Mattress/image_2.jpg', 'images/Tulo_Lavender_12_Plush_Memory_Foam_Mattress/image_3.jpg']","[$ 349.99, $ 369.99, $ 449.99, $ 499.99, $ 589.99]",3.9,559,Plush,Side Sleepers,Memory Foam,"12""",No,No,Yes,Yes,Yes,Yes,Yes,100
