name,size,images,current_price,rating,num_reviews,comfort,best for,mattress type,height,Cooling TechYeslogy,Motion Separation,Pressure Relief,Support,Adjustable Base Friendly,Breathable,Mattress in a Box,ProductID
"Serta iComfort Elana 11.5"" Firm Mattress",Queen,"['images/Serta_iComfort_Elana_11.5_Firm_Mattress/image_1.jpg', 'images/Serta_iComfort_Elana_11.5_Firm_Mattress/image_2.jpg', 'images/Serta_iComfort_Elana_11.5_Firm_Mattress/image_3.jpg']",1299.99,4.8,17.0,Firm,"Back and Stomach Sleepers, Pain and Temperature",Foam,,No,No,No,No,No,No,No,30
"Serta iComfort Elana 11.5"" Firm Mattress",King,"['images/Serta_iComfort_Elana_11.5_Firm_Mattress/image_1.jpg', 'images/Serta_iComfort_Elana_11.5_Firm_Mattress/image_2.jpg', 'images/Serta_iComfort_Elana_11.5_Firm_Mattress/image_3.jpg']",1899.99,4.8,17.0,Firm,"Back and Stomach Sleepers, Pain and Temperature",Foam,,No,No,No,No,No,No,No,30
"Serta iComfort Elana 11.5"" Firm Mattress",Cal King,"['images/Serta_iComfort_Elana_11.5_Firm_Mattress/image_1.jpg', 'images/Serta_iComfort_Elana_11.5_Firm_Mattress/image_2.jpg', 'images/Serta_iComfort_Elana_11.5_Firm_Mattress/image_3.jpg']",1899.99,4.8,17.0,Firm,"Back and Stomach Sleepers, Pain and Temperature",Foam,,No,No,No,No,No,No,No,30
"Serta iComfort Aspire 14"" Medium Mattress",Twin XL,"['images/Serta_iComfort_Aspire_14_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Aspire_14_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Aspire_14_Medium_Mattress/image_3.jpg']",1499.99,4.6,17.0,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,31
"Serta iComfort Aspire 14"" Medium Mattress",Full,"['images/Serta_iComfort_Aspire_14_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Aspire_14_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Aspire_14_Medium_Mattress/image_3.jpg']",1849.99,4.6,17.0,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,31
"Serta iComfort Aspire 14"" Medium Mattress",Queen,"['images/Serta_iComfort_Aspire_14_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Aspire_14_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Aspire_14_Medium_Mattress/image_3.jpg']",1999.99,4.6,17.0,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,31
"Serta iComfort Aspire 14"" Medium Mattress",King,"['images/Serta_iComfort_Aspire_14_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Aspire_14_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Aspire_14_Medium_Mattress/image_3.jpg']",2699.99,4.6,17.0,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,31
"Serta iComfort Aspire 14"" Medium Mattress",Cal King,"['images/Serta_iComfort_Aspire_14_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Aspire_14_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Aspire_14_Medium_Mattress/image_3.jpg']",2699.99,4.6,17.0,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,31
"Serta iComfort Aveda 12"" Plush Mattress",Twin XL,"['images/Serta_iComfort_Aveda_12_Plush_Mattress/image_1.jpg', 'images/Serta_iComfort_Aveda_12_Plush_Mattress/image_2.jpg', 'images/Serta_iComfort_Aveda_12_Plush_Mattress/image_3.jpg']",1199.99,4.5,14.0,Plush,"Side Sleepers, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,32
"Serta iComfort Aveda 12"" Plush Mattress",Full,"['images/Serta_iComfort_Aveda_12_Plush_Mattress/image_1.jpg', 'images/Serta_iComfort_Aveda_12_Plush_Mattress/image_2.jpg', 'images/Serta_iComfort_Aveda_12_Plush_Mattress/image_3.jpg']",1349.99,4.5,14.0,Plush,"Side Sleepers, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,32
"Serta iComfort Aveda 12"" Plush Mattress",Queen,"['images/Serta_iComfort_Aveda_12_Plush_Mattress/image_1.jpg', 'images/Serta_iComfort_Aveda_12_Plush_Mattress/image_2.jpg', 'images/Serta_iComfort_Aveda_12_Plush_Mattress/image_3.jpg']",1499.99,4.5,14.0,Plush,"Side Sleepers, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,32
"Serta iComfort Aveda 12"" Plush Mattress",King,"['images/Serta_iComfort_Aveda_12_Plush_Mattress/image_1.jpg', 'images/Serta_iComfort_Aveda_12_Plush_Mattress/image_2.jpg', 'images/Serta_iComfort_Aveda_12_Plush_Mattress/image_3.jpg']",2099.99,4.5,14.0,Plush,"Side Sleepers, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,32
"Serta iComfort Aveda 12"" Plush Mattress",Cal King,"['images/Serta_iComfort_Aveda_12_Plush_Mattress/image_1.jpg', 'images/Serta_iComfort_Aveda_12_Plush_Mattress/image_2.jpg', 'images/Serta_iComfort_Aveda_12_Plush_Mattress/image_3.jpg']",2099.99,4.5,14.0,Plush,"Side Sleepers, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,32
"Tulo Bamboo 6"" Firm Green Tea Memory Foam Mattress",Twin,"['images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_1.jpg', 'images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_2.jpg', 'images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_3.jpg']",136.99,4.2,4571.0,Firm,Back and Stomach Sleepers,Memory Foam,"6""",No,No,Yes,Yes,Yes,Yes,Yes,33
"Tulo Bamboo 6"" Firm Green Tea Memory Foam Mattress",Twin XL,"['images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_1.jpg', 'images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_2.jpg', 'images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_3.jpg']",142.99,4.2,4571.0,Firm,Back and Stomach Sleepers,Memory Foam,"6""",No,No,Yes,Yes,Yes,Yes,Yes,33
"Tulo Bamboo 6"" Firm Green Tea Memory Foam Mattress",Full,"['images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_1.jpg', 'images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_2.jpg', 'images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_3.jpg']",177.99,4.2,4571.0,Firm,Back and Stomach Sleepers,Memory Foam,"6""",No,No,Yes,Yes,Yes,Yes,Yes,33
"Tulo Bamboo 6"" Firm Green Tea Memory Foam Mattress",Queen,"['images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_1.jpg', 'images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_2.jpg', 'images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_3.jpg']",199.99,4.2,4571.0,Firm,Back and Stomach Sleepers,Memory Foam,"6""",No,No,Yes,Yes,Yes,Yes,Yes,33
"Tulo Bamboo 6"" Firm Green Tea Memory Foam Mattress",King,"['images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_1.jpg', 'images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_2.jpg', 'images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_3.jpg']",231.99,4.2,4571.0,Firm,Back and Stomach Sleepers,Memory Foam,"6""",No,No,Yes,Yes,Yes,Yes,Yes,33
Sleepy's Basic Foam Mattress,Twin,"['images/Sleepys_Basic_Foam_Mattress/image_1.jpg', 'images/Sleepys_Basic_Foam_Mattress/image_2.jpg', 'images/Sleepys_Basic_Foam_Mattress/image_3.jpg']",139.99,3.4,1083.0,Firm,Back and Stomach Sleepers,Foam,"6""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,34
Sleepy's Basic Foam Mattress,Full,"['images/Sleepys_Basic_Foam_Mattress/image_1.jpg', 'images/Sleepys_Basic_Foam_Mattress/image_2.jpg', 'images/Sleepys_Basic_Foam_Mattress/image_3.jpg']",159.99,3.4,1083.0,Firm,Back and Stomach Sleepers,Foam,"6""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,34
Sleepy's Basic Foam Mattress,Queen,"['images/Sleepys_Basic_Foam_Mattress/image_1.jpg', 'images/Sleepys_Basic_Foam_Mattress/image_2.jpg', 'images/Sleepys_Basic_Foam_Mattress/image_3.jpg']",160.99,3.4,1083.0,Firm,Back and Stomach Sleepers,Foam,"6""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,34
Sleepy's Basic Foam Mattress,King,"['images/Sleepys_Basic_Foam_Mattress/image_1.jpg', 'images/Sleepys_Basic_Foam_Mattress/image_2.jpg', 'images/Sleepys_Basic_Foam_Mattress/image_3.jpg']",219.99,3.4,1083.0,Firm,Back and Stomach Sleepers,Foam,"6""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,34
"Sealy Essentials™ Sudley 8.5"" Firm Mattress",Twin,"['images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_1.jpg', 'images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_2.jpg']",239.99,4.0,842.0,Firm,Back and Stomach Sleepers,Innerspring,"8.5""",Yes,Yes,Yes,Yes,Yes,Yes,,35
"Sealy Essentials™ Sudley 8.5"" Firm Mattress",Twin XL,"['images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_1.jpg', 'images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_2.jpg']",279.99,4.0,842.0,Firm,Back and Stomach Sleepers,Innerspring,"8.5""",Yes,Yes,Yes,Yes,Yes,Yes,,35
"Sealy Essentials™ Sudley 8.5"" Firm Mattress",Full,"['images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_1.jpg', 'images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_2.jpg']",299.99,4.0,842.0,Firm,Back and Stomach Sleepers,Innerspring,"8.5""",Yes,Yes,Yes,Yes,Yes,Yes,,35
"Sealy Essentials™ Sudley 8.5"" Firm Mattress",Queen,"['images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_1.jpg', 'images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_2.jpg']",319.99,4.0,842.0,Firm,Back and Stomach Sleepers,Innerspring,"8.5""",Yes,Yes,Yes,Yes,Yes,Yes,,35
"Sealy Essentials™ Sudley 8.5"" Firm Mattress",King,"['images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_1.jpg', 'images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_2.jpg']",399.99,4.0,842.0,Firm,Back and Stomach Sleepers,Innerspring,"8.5""",Yes,Yes,Yes,Yes,Yes,Yes,,35
"Sealy Essentials™ Sudley 8.5"" Firm Mattress",Cal King,"['images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_1.jpg', 'images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_2.jpg']",399.99,4.0,842.0,Firm,Back and Stomach Sleepers,Innerspring,"8.5""",Yes,Yes,Yes,Yes,Yes,Yes,,35
